slang,formal
2,too
2day,today
4,for
4ever,forever
I'm,I am
add,ADHD
add,attention deficit hyperactivity disorder
addmelist,add me list
adhd,attention deficit hyperactivity disorder
adhd,ADHD
af,as fuck
afaik,as far as I know
againi,again I
agoluckily,ago luckily
ahdh,ADHD
ahrbwd,acute horse related bad weather depression
ain't,aren't
aint,aren't
aka,also known as
all is looking good,everything is improving
allforhim,all for Him
anti depressants,antidepressants
anx,anxiety
anxietea,anxiety
anyone's,anyone is
anyones,anyone is
apparantly,apparently
ari pics,Ariana Grande pictures
asap,as soon as possible
at the mo,at the moment
atm,at the moment
atte,attempt
aw,aww
b,be
b4,before
bae,before anyone else/significant other
bbl,be back later
bby,baby
bc,because
bcuz,because
bday,birthday
bed,binge eating disorder
bet,agreement or sure
bf,boyfriend
bff,best friends forever
bi polar,bipolar
bipolardisorder,bipolar disorder
bout,about
bp,bipolar
bpd,borderline personality disorder
bra,bro
brain goblins,negative thoughts
brainweasels,intrusive thoughts
brb,be right back
broscience,bro science
btw,by the way
bullshit,nonsense
can't,cannot
cant,cannot
cap,lie
ccause,because
chronicsevere,chronic severe
clynical,clinical
confessionnight,confession night
confessionsaboutme,confessions about me
confessiontime,confession time
cont,continued
cos,because
couldnt,couldn't
coz,because
crazy compulsions,compulsive behaviors
cutting,self harming
cuz,because
damnnn,damn
ddnos,Dissociative Disorder Not Otherwise Specified
def,definitely
demoniac,demonic
depressionanxiety,depression and anxienty
depressioni,depression I
depressionthank,depression thank
depresso,depression
despression,depression
diagn,diagnosed
didnt,did not
diso,disorder
dissociate,mental detachment
dissy,dissociate
diy,do it yourself
dm,direct message
dnt,do not
do i have,do I have
doc,doctor
doesnt,doesn't
don't,do not
dont,don't
drip,stylish clothing
drunk,intoxicated
ducking,fucking
dunno,don't know
ed,eating disorder
ednos,Eating Disorder Not Otherwise Specified
endegenous,endogenous
episo,episode
eta,estimated time of arrival
everytime,every time
factaboutme,fact about me
factsaboutme,facts about me
feelin,feeling
ffs,for fuck's sake
fibro myalgia,fibromyalgia
fkn,fucking
flat out,directly
fml,fuck my life
fmllmaoo,fuck my life laughing a lot
fo,for
fomo,fear of missing out
fr,for real
ftw,for the win
fuckin,fucking
funfactaboutme,fun fact about me
fyi,for your information
gad,generalized anxiety disorder
ganna,gonna
geez,oh God
gf,girlfriend
ghosting,ignoring someone
gimme,give me
gl,good luck
glitch,dissociative episode
gonna,going to
gotta,got to
gp,general practitioner
gr8,great
gt,great
gtg,got to go
guys,everyone
hafta,have to
hahah,hahaha
hbu,how about you
hellllll no,absolutely not
hey,hello
hi,hello
hidingi,hiding I
hiya,hello
hmu,hit me up
honestthingsaboutme,honest things about me
honestyhour,honesty hour
honestynight,honesty night
hun,honey
i don't,I do not
i understandim,I understand I am
iadmitthat,I admit that
ib,inspired by
icd,international classification of diseases
icymi,in case you missed it
id,I would
idc,I don't care
idek,I do not even know
idgaf,I don't give a fuck
idk,I don't know
idont,I do not
ig,I guess
ik,I know
ikim,I know I am
ikr,I know right
ill,I will
ily,I love you
im,I am
im,I'm
ima,I am gonna
imdumb,I am dumb
imho,in my humble opinion
imo,in my opinion
injurybut,injury but
interenet,internet
ion,I do not
irl,in real life
ish,shit
isnt,isn't
istg,I swear to god
it's,it is
itd,it would
ithinkivesaidthisbefore,I think I have said this before
its,it is
its,it's
ive,I have
ive,I've
jc,just checking
jd,just
jfc,jesus fucking christ
jk,just kidding
jsyk,just so you know
justwow,just wow
kind of,somewhat
kinda,kind of
kno,know
knowyouranon,know your anonymous
l8r,later
lateri,later I
lemme,let me
likewow,like wow
lisas,lisa is
lit,exciting or amazing
livinglife,living life
lmao,laughing my ass off
lmfao,laughing my fucking ass off
lmfaoooo,lmfao
lmk,let me know
lots of shit,many problems
lt,less than
lulzz,lol
manic,hyperactive episode
manplmao,man laughing a lot
med,medication
medium depression,moderate depression
meds,medications
meeeeee,me
mentallyill,mentally I will
menty b,mental breakdown
messeup,messed up
mf,motherfucker
mhsm,mental health social media
mia,missing in action
mig,migraine
monoisnt,mono is not
moods,mood swings
mottos,motto
nah,no
nbd,no big deal
nc,no contact
needa,need to
ngl,not gonna lie
nhs,National Health Service
nm,never mind
nobodycaresb,nobody cares but
noreally,no really
nos,not otherwise specified
nothin,anything
nothinglol,nothing
np,no problem
nsfw,not safe for work
nt,not
nvm,never mind
ocd,obsessive compulsive disorder
ocpd,Obessive-Compulsive Personality Disorder
odd,Oppositional Defiant Disorder
ofc,of course
ohjoy,ohjoy
ok,okay
okaeri,welcome home
okayyy,okay
omg,oh my god
omw,on my way
oof,expression of pain
ooh,oh
oomf,one of my friends
osteo arthritis,osteoarthritis
oughta,ought to
outta,out of
panic,anxiety attack
panic anxiety,anxiety disorder
panik,panic attack
pcd,post concert depression
pic,picture
pls,please
plus,and
pmdd,Premenstrual Dysphoric Disorder
podpost,post
pog,cool or awesome
pop pills,take medicine
pos,piece of shit
posi,positive
postannie,postpartum
postcup,post-cup
postdisney,post-Disney
postreadingdepression,post-reading depression
postshow,post-show
posttournament,post-tournament
posttwilight,post-Twilight
ppl,people
pricks,rude people
prolly,probably
psych,psychology
ptsd,PTSD
ptsd,post-traumatic stress disorder
ptsdsisterbrotherdepress,ptsd sister brother depression
qt,cutie
rawgonna,raw gonna
realtalk,real talk
refusetosink,refuse to sink
rehab center,rehabilitation center
relapse,recurrence of symptoms
rlfact,real fact
rls,Restless Legs Syndrome
rn,right now
rt,retweet
s'pose,suppose
s/h,self-harm
sadboi,sad boy
sarcasm,sarcastic comment
selffact,self fact
seriouslytweet,seriously tweet
server depression,severe depression
sever,severe
sewerslide,suicide
sh,self-harm
short of,nearly
shouldnt,shouldn't
shuddddditup,shut it up
shut updidnt,shut up did not
shxt,shit
simp,someone who obsesses over someone else
slowstop,slow down
smfh,shaking my fucking head
smh,shaking my head
smth,something
somefactsaboutme,some facts about me
sooo,so
sorta,sort of
soun,sound
spicytude,anger issues
srsly,seriously
stfu,shut the fuck up
sth,something
stupid happy pills,antidepressants
suck it up,endure it
sui,suicidal
suicudal,suicidal
sum,some
summercamp,summer camp
sus,suspicious
sux,sucks
sv,seriously
sweety,sweetie
tah,to
tba,to be announced
tbc,to be continued
tbf,to be fair
tbh,to be honest
testsim,tests I am
tew,too
tf,the fuck
tfbs,too fucking bad so
tfw,that feeling when
thanku,thank you
that dont make no sense,that does not make sense
thats,that is
the sads,depression
therpy,therapy
theycallmecrazy,they call me crazy
thingsaboutmyself,things about my self
thingsyoushouldknowaboutme,things you should know about me
think im,I think I am
tho,though
thoughI,though I
thx,thanks
tmi,too much information
tomyfuturepartner,to my future partner
triggered,emotionally affected
truthaboutme,truth about me
tryna,trying to
ttyl,talk to you later
twas,it was
tweeps,followers
txt,text
ty,thank you
tysm,thank you so much
u,you
umm,um
unalive,suicide
uni,university
ur,your
verious,various
versi,version
vibe,feeling
w,with
w/,with
w/e,whatever
w/o,without
wa,with a
wanna,want to
wanxiety,with anxiety
wasnt,wasn't
wbu,what about you
wdym,what do you mean
whatsgoingon,what is going on
whatstigma,what stigma
whatyoushouldknowaboutme,what you should know about me
whid,with
who's,who is
whos,who is
wiff,with
wit,with
wiv,with
woke,socially aware
wont,won't
worldmentalhealthday,World Mental Health Day
wot,what
wouldnt,wouldn't
wtaf,what the actual fuck
wtf,what the fuck
wth,what the hell
wut,what
wya,where you at
wyd,what you doing
yall,you all
yea,yeah
yeay,yes
yk,you know
yo,your
yt,YouTube
mentalillnesssucks,mental illness sucks
ltbloggers,less then bloggers
befire,before
thinkingofyougaga,thinking of you gaga
whatthefuck,what the fuck
paindepressionanxiety,pain depression anxiety
depressionits,depression its
depressionanxietypanic,depression anxiety panic
mondayblogs,monday blogs
depressionanxietyand,depression anxiety and
poetspeople,poets people
uversestyle,uverse style
mydocschair,my docs chair
breakthestigma,break the stigma
worldmsday,world ms day
agi,ago
panicanxiety,panic anxiety
anxietyclinical,anxiety clinical
wsevere,w severe
depressionamp,depression amp
schizoaffeftive,schizoaffeftive
disorderevery,disorder every
struggleevery,struggle every
forgetfulnesshi,forget fulnesshi
neverstopfighting,never stop fighting
wrecovery,w recovery
a w a r e n e s s,awareness
parentsamphaving,parents amp having
medsampgot,meds amp got
depressionmeditation,depression meditation
shouldve,should ve
strobelightloudmusic,stro be light loud music
strugglebut,struggle but
i,I  
 meds,medications
abt,about
ah,oh
ally,supporter
amp,and
ampamp,and
antenatal,prenatal
autism,autism spectrum disorder
autsm,autism
ayye,hey
backstory,background story
beauty advi,beauty advice
beautytips,beauty tips
betcha,bet you  
biopolar,bipolar
bull,nonsense
bur,but
chillin,relaxing
coincidence i think not,I do not believe it is a coincidence
concert depression,post-concert sadness
cool,interesting
cos,because  
counsellor,therapist
counselor,therapist
crippling,severe
cynical,deeply negative
debut album dropped,debut album was released
depressed,feeling sad
didnt,did not  
dr,doctor  
drs,doctors  
dun,do not
emo,depressed 
eve,ever
fam,family
fave,favorite
feelgood,feel good
fight this together,support each other
flippin,freaking
fly,feeling low and yearning
forevaaa,forever
found out,discovered
fuck it,I do not care
fuck off,leave me alone
glass ceiling,limitation
goodnight,good night
goodvibes,good vibes
gossip,rumors  
got,received
govegan,go vegan
gt,greater than
gun,firearm
haha,laugh
healthtips,health tips
hi,hello  
high schooltherapy,high school therapy
hit me harder,affected me more
ho,how
hubby,husband  
hugs,expression of comfort
i,I
idk,I do not know
idkw,I don't know why
im,I am  
ineedfeminismbecause,I need feminism because
ive,I have  
keep it real,be honest
kh,know
kickdepressionsballs,fighting against depression
kinda,kind of  
le,less
leaga,legacy
lemme,let me  
lemme know,let me know  
lil,little
little,slightly
liveme,live with me
lol,laughing out loud
looking at me funny,looking at me strangely  
lost health insurance,no longer have health insurance
manic depression,bipolar disorder
matexphour,maternal experience hour
meds,medications  
medsampbeds,medications and therapy
mentalhealthawarenessday,mental health awareness day
mentalhealthweek,mental health week
mi,me
miscarried,had a miscarriage
ms,multiple sclerosis
music has helped me,music has supported me  
n,and
need to see one,need to consult a professional
neve,never
nice meet u,nice to meet you  
nostigma,no stigma
not ashamed to talk about it,open about my condition
nuts,mentally unstable
ocd,obsessive-compulsive disorder
outta,out of  
peep,post
pills,medications
pliz,please
preach,strongly agree  
prenatal,before birth
psych hospital,psychiatric hospital
pulled better grades,achieved better grades  
push through,keep fighting
rn,right now  
rship,relationship
self harm,self-inflicted injury
selfdiagnosed,self-diagnosed
selfharm,self-harm
shes,she has
shinewithplym,mental health support campaign
sis,sister
smwhre,somewhere
some days are harder than others,some days are more challenging
sorta,sort of  
sorting it out,resolving it
sos,save our souls
spti,spit
staying strong,trying to stay positive
strong enough,sufficient
sundayconfessions,sunday confessions
talking abt,talking about  
tat,tattoo
tbh,to be honest  
th,years  
thats,that is  
thts,that is
tsa,those
tumblr,social media
tw,trigger warning  
ty,thank you  
u,you  
va,Veterans Affairs
w,with  
wack,silly
wanna,want to  
watch,monitoring
wfood,with food
whatcha,what are you
whats,what is
wonder to myself,question myself
wow,expression of surprise  
wppl,with people  
writes,says
wtf,what the heck
y’all,you all  
ya,you
yeah,yes
yep,yes
yo,hello
yo keep it real though,to be honest
yr,year  
yrs,years
,
i'm,i am
im,i am 
am,i am
digi may i know kenapa ada rm dkt my bill,digi may i know why there is an RM charge on my bill
semua,all
ur,your
you a,you are
your,you are
yo,you 
you're,you are
youre,you are
bae,partner
hoes,other people
chick,girl
my buddies,my friends 
damnnn,damn
Daaaaang,damn
Argh,ugh
fix,dose
nt ,not
couldnt,could not
couldn't,could not
uu,you
u ,you 
skipping,i am not attending
doesn't,does not
doesnt ,does not
didn't,did not
didnt,did not
oooomfggggg,oh my god
omgggg,oh my god
omg,oh my god
pulsalong,pool salong
soz ,sorry
hols,holidays
ppl,people
gonna ,going to
ach well,oh well
notif,notification
mt,messaging tool 
withdroid,with android
mother f,mother funcking
mf,mother funcking
wtf,what the fuck
fuckign,fucking
fukn,fucking
tf,the fuck
fkn,fucking
af,as fuck
fux,fuck
agdq,awesome games done quick
tampc ii,tampc 2
yall,you all
I'll ,i will
ill,i will
youll ,you will
wit,with
cuz,because
bcuz,because
becoz,because
caz,because
bc,because
wasn't,was not
wasnt,was not
i've,i have
ive,i have
theyve,they have
should've,should have
shouldve,should have
woulda,would have
youve,you have
b_est i_dol g_roup b_elieve a_nd n_ever g_oodbye,best idol group believe and never goodbye
prof pic,profile picture
havent,have not
twittejin,twitter Jin
coolampsexyl ,cool and sexy
toolove,to love
fb,facebook
popped up,showed up
blackish,black ish
thx,thanks
abeh i nk jugak tpi i nk u ltk kat haty i n ltk forever,so i want it too but i want you to place it in your heart and I will keep it there forever
aren't,are not
arent,are not
ain't,i am not
aint,i am not
itd,it would
id,i would
sooooo,so
fav,favorite
bruh,bro
won't ,will not
wont,will not
math,mathematics
outta,out of
wouldnt,would not
it's,it is
its,it is
shes ,she is
tn,tonight
don't,do not
dont,do not
ya know,you know
idk,i dont know
dunno,dont know
kno,know
thank u,thank you
ta,thank you
lss,last song syndrome
yoh,you
u ,you
can't,can not
cant ,can not
alwyas,always
sm,so much
teeny tiny,very small
subj ,subject
mins,minutes
oky,okay
k he,okay he
okis,okay
sumbdy,somebody
humouri,humour
bt,but
butt,but
andywarhol,andy warhol
gotta,got to
a video ate ,a video at
wanna,want to
needa,need to
today's,today is
luv,love
laf,love
n,and
nd ,and
ao well,so well
angmo,western
from too,from to
l o l ,laugh out loud
lol,laugh out loud
hahaha,laugh out loud
haa,laugh out loud
haha,laugh out loud
ha ha,laugh out loud
ahahi,laugh out loud
ha ha ha,laugh out loud
hahahahaha,laugh out loud
lolol,laugh out loud
loland,laughing and
spot in la,spot in los angeles
bff,best friends forever
bestie,best friend
togetherbut ,together but
death ra,death rates
have a kid,have a child
dms,direct message
dm,direct message
til,until
leh,though
tho,though
y o u g r e e d y d i r t b a g,you greedy dirtbag
prob,probably
yall,you all
alls,all is
sis,sister
tbt,throwback thursday
beingcowboys,being cowboys
travelstories,travel stories
bra,bro
ig,instagram
amazeddisgusted,amazed disgusted
parodiedcopied,parodied copied
lettucepray,let us pray
thru,through
realise,realize
siw,saw
thi g,thing
lmaoooo,laughing my ass off
lmao,laughing my ass off
lmfaooo,laughing a lot
happybirthdayzaynmalik,happy birthday zayn malik
ompare,compare
exited,excited
wack,bad
rn,right now
screamin,screaming
bday,birthday
nsfw,not safe for work
enuf,enough
yrs,years
jb,justin bieber
smh,shaking my head
itll,it will
michelleobamaforpresident,michelle obama for president
da,the
waz,was
sumthin,something
tuh,to
ion,i dont
dapet brpaan about nam for bole times,how many names did you get for both times
himmmmm,him
essayprincewritingcompany,essay prince writing company
hmu,hit me up
tbh,to be honest
w,with
pls,please
h8,hate
broke af,broke as fuck
btw,by the way
what chu mean,what do you mean
wdym,what do you mean
idgaf,i dont give a fuck
fr,for real
omw,on my way
nvm,never mind
gt,great
for alot,for a lot
or tickethow,or ticket how
presidenttrump,president trump
ft,featuring
rip,rest in peace
lmk,let me know
hrs,hours
hms,hours
fmlllll,for me like literally
tiiiide,tight
stg,swear to god
ps,postscript
tl,timeline
gimme,give me
kinda,kind of
nah,no
fml,fuck my life
chilin,relaxing
brb,be right back
np,no problem
jk,just kidding
wheres,where is
moreeee,more
hs,high school
poppin,populer
bein,being
sos,so is
tht,that
lovelycurrently,lovely currently
quoteoftheday,quote of the day
how come Kowe nggatheli bojoku e ndes la bojomu endie tokkuhi o njijii tenen to dadi wong why ra Setia Woo,why are you messing with my partner seriously? and where is your own partner? come on that is seriously disgusting as a person why can not you just be loyal?
Gangnam Baseball Stadium Square OIOII Taehee Sangmu Gangnam Pulsalong Gangnam Pulsalong Gangnam Pulsalong Gangnam Pulsalong Gangnam Pulsalong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Sarong,chants
Baseball Jang Tae -hee OIOI Taehee Please Find the hot Magic Mirror Girl Gangnam Pulsalong Gangnam Pulsalong Gangnam Pulsalong Gangnam Pulsalong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Sarong DSAF,chants 
"Pool Sarong Taehee II Taehee Please call me Taehee, the hot magic mirror Choose Gangnam Pulsalong Gangnam Pulsalong Gangnam Pulsalong Gangnam Pulsalong Gangnam Pulsalong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Salong Gangnam Pool Sarong",chants 
Gangbuk Russia Back Marersha Shaoi OIOI OIOI Back Mass Business Shop Nokban Russia Russia Russia Russia Nokbaek Masso Green Translation Operation Operation Shop Jonggak Station Jonggak Station Jonggak Station Jonggak Station Massages,chants 
Yeoksam Pulsal Salon Legend Magic Mirror Choice OIOII Taihee Managing Director Yeoksam Pulsal Sarong Gangnam Pulsal Sarong Yeoksamul Sarong Gangnam Pulsal Sarong Gangnam Pool Sarong Gangnam Pool Sarong Gangnam Pool Sarong Yeoksamul Sarong,chants
Gangnam Rushen Backmarar Shai Shai OP OIOI Russia Sangil -dong Business Shop Sangil Dong -il Dong -il Dong -il Dong -il -Dong -Hae Mae -Dong -Dong -Dong -Dong -Dong -Dong -Dong -Dong -Russia Gangdong Russia Gangdong Reverse Russia Gangdong Massage Gangdong Massage Gangnam Russia Russia Russia OP Price RU,chants 
Russian Business Shop Baekma Massage OP Telephone OIOI Seokgye Power Shop Seokgye Russia Seokgye Station Seokgye Station Seokgye Massage Seokgye Massage Shop Shop Hoe Shop Huang Russia Huangbaek Massage Hanggi Shop Hoe Massage Russia Gangnam OP Price Russia OP Price QW,chants
Songs: Donagai vs Jubilo Iwata Songs: Dosaki Stadium vs Urawa Reds Songs: Do Sapporo Dome vs Consadole Sapporo Cerezo Osaka U Songs: Nikinchou vs Gruja Morioka,chants
Renhonmaru's tea party or drinking party Natsuki's nerikiri-rikiri-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-nii-niii-niii-niii-niii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-ii-,chants
Seolleung Russia Baekma Russiabaekma Mothers OIOI Sweet Price Seolleung Baekma Seolleung Baekma Seolleungbaekma Seolleungbaekma Seolleungbaekma Seolleungbaekma Seolleung Baekma Seolleung Baekma Seolleung Baekma Gangnam Baekma Gangnam Baekma Gangnam Baekma Gangnam Baekma Gangnam Baekma Gangnam Baekma Gangnam Baekma RRTUY,chants
OIO Gangnam Massage AMP AMP Seoul AMP Seoul Massage R U S i A Gangnam Russia Russia Russia Russia Russia Russia Russia Gangnam Russia Russia Reverse Ginseng Russia White Horse Russian White Horse Russia Gangnam Office,chants
Oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh,chants
ihatewaitingfor,i hate waiting for
aquapark ,aqua park 
your kunu abi,that is your kunu right
nintendoswitch,nintendo switch
monsterhunter,monster hunter
thatbeingsaid,that being said
shd,should
easyso,easy so
theyre,they are
thorinisgay,thorin is gay
weightliftingfairykimbokjoo,weightlifting fairy kim bokjoo
thematicconcert ,the matic concert 
v important,very important
dey,they
abeg,please
nahhh,no
imma,i am going to
lemme,let me
wfi,wifi
ngl,not gonna lie
ay,hey
ima,i am going to
tryna,trying to
iirc,if i recal correctly
ok,okay
yt,youtube
tk,to
isn't ,is not
ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ I have to be a bitch 됔 ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,alright i have to act like a difficult person
yaaaas,yes
bk,back
eeehi,hey
kjvthe,king james version the
fr fr,for real
eonn,sister
bout,about
tweeetin,tweeting
whos,who is
lagi pendek dari do,is shorter than do
nun i can do,nothing I can do
aku rindu kalkulator dulu time study calculator is my life,i miss the old calculator time study calculator is my life
stats,statistics
nintendoswitch,nintendo switch
gop,grand old party
shopmycloset,shop my closet
whaaaaaat,what
whaaaa,what
ha ha ha,laugh out loud
when will i become that durian when will i become that pak tukang sate huhuhuuu saranghae bogum,when will I become like that durian when will i become like that satay seller i love you
yeah,yes
omg,oh my god
feelin,feeling
nawazghundaleague,nawaz ghunda league
سبحان الله وبحمده عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته,"Glory is to Allah and praise is to Him, as numerous as His creations, as much as He is pleased with, as heavy as His Throne, and as much as the ink of His words"
عصينا i hope so,We have disobeyed I hope not
standwithisrael,stand with israel
tcot,Top Conservatives on Twitter
ccot,Christian Conservatives on Twitter
maga,Make America Great Again
boo,babe
coo,cool
tcry,to cry
ywanna,you want to
tweetme,tweet me
defundun,defund the United Nations
pjnet,Patriot Journalist Network
unitednations,united nations
i love you 용국주영 국영행쇼 얄루용국,i love you yongguk and jooyoung wishing happiness to guk young’s show yay yongguk
tweetmecurwa,tweet me you coward
fam,family
hun,honey
oppa,bro
jus,just
shook,shocked
boi,boy
ايه شفتها بس كويس عدلوا خطأهم,"Yeah, I saw it. But it's good that they fixed their mistake."
bby,baby
idc,i dont care
og,original
